DailyMeanPressure_AllYear_url,DailyMeanPressure_CurrentYear_url,WeatherStationName_en,WeatherStationName_sc,WeatherStationName_uc,GeometryLongitude,GeometryLatitude
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKA_MSLP_2024.csv,Hong Kong International Airport,香港国际机场,香港國際機場,113.92194444000006,22.309444400000075
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_CCH_MSLP_2024.csv,Cheung Chau,长洲,長洲,114.02666667000005,22.20111110000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_HKO_MSLP_2024.csv,Hong Kong Observatory,香港天文台,香港天文台,114.17416667000009,22.301944400000025
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_LFS_MSLP_2024.csv,Lau Fau Shan,流浮山,流浮山,113.98361111000008,22.468888900000024
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_PEN_MSLP_2024.csv,Peng Chau,坪洲,坪洲,114.04333333000011,22.291111100000023
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SHA_MSLP_2024.csv,Sha Tin,沙田,沙田,114.21000000000004,22.402500000000032
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SEK_MSLP_2024.csv,Shek Kong,石岗,石崗,114.08472222000012,22.436111100000062
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_SSH_MSLP_2024.csv,Sheung Shui,上水,上水,114.11111111000002,22.50194440000007
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_TKL_MSLP_2024.csv,Ta Kwu Ling,打鼓岭,打鼓嶺,114.15666667000005,22.528611100000035
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_YCT_MSLP_2024.csv,Tai Po (Yuan Chau Tsai Park),大埔（元洲仔公园）,大埔（元洲仔公園）,114.17710000000011,22.44822000000005
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WGL_MSLP_2024.csv,Waglan Island,横澜岛,橫瀾島,114.3033333300001,22.18222220000007
https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MSLP_ALL.csv,https://data.weather.gov.hk/weatherAPI/hko_data/csdi/dataset/daily_WLP_MSLP_2024.csv,Wetland Park,湿地公园,濕地公園,114.0088888900001,22.466666700000076
